idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location,anomaly_label_x,anomaly_label_y,net_spending,fee_ratio,cashback_ratio,points_per_dollar,hour,weekday,is_weekend,day_part,transactions_per_user,avg_spent_per_user,merchant_transaction_count
236,9bc8b2dd-b152-4d46-bc6d-d6a7c25bfd02,USER_02530,2023-09-05 17:52:00,Flight Booking,Delhi to Mumbai,MakeMyTrip,933.09,40.51,48.96,619,UPI,Successful,MERCH_0739,Android,Urban,normal,normal,884.13,0.04341489031068814,0.05247082275021702,0.6633872402447781,17,1,0,Afternoon,2,3523.085,3
237,534fbd9e-494d-4e73-819a-47d8f8beb09d,USER_07797,2023-09-05 18:17:00,Mobile Recharge,Annual Plan 2999,Idea,9254.17,20.8,62.98,357,UPI,Successful,MERCH_0083,Android,Rural,normal,normal,9191.19,0.0022476353903159332,0.006805580619331609,0.038577203574172506,18,1,0,Evening,1,9254.17,9
238,21f6f00e-1880-4b70-93d7-23a0f683411d,USER_03907,2023-09-05 18:53:00,Online Shopping,Steel Toe Shoes,Myntra,1033.68,12.2,65.29,748,UPI,Successful,MERCH_0513,Web,Urban,normal,normal,968.3900000000001,0.011802492067177461,0.06316268090705054,0.7236282021515362,18,1,0,Evening,1,1033.68,6
239,027645a5-298b-47a3-a871-4a5efad427d7,USER_01658,2023-09-05 19:26:00,Grocery Shopping,Basmati Rice,Grofers,5652.04,5.81,13.68,306,Credit Card,Successful,MERCH_0403,iOS,Urban,normal,normal,5638.36,0.0010279474313699124,0.002420365036340861,0.054139744233940315,19,1,0,Evening,1,5652.04,5
240,e889545c-573c-4826-a359-af6976f5020f,USER_04724,2023-09-05 21:27:00,Online Shopping,Laptop Backpack,Myntra,6993.78,41.81,88.54,265,UPI,Successful,MERCH_0734,Android,Urban,normal,normal,6905.24,0.005978169173179598,0.012659820583432709,0.037890811549691296,21,1,0,Evening,4,7328.9825,3
241,f5878fd7-874e-453f-b794-21c4a94282d3,USER_02766,2023-09-06 00:20:00,Loan Repayment,Home Loan EMI,Axis Bank,8134.71,34.72,1.99,868,Debit Card,Successful,MERCH_0793,iOS,Urban,normal,normal,8132.72,0.004268130025532563,0.00024463072438968324,0.10670325063831408,0,2,0,Night,2,7962.945,3
242,be7ffbf2-1ef7-46a0-9eff-d96f0e7d3130,USER_03998,2023-09-06 00:29:00,Rent Payment,Co-working Space,NoBroker,2693.45,42.58,68.04,795,Wallet Balance,Successful,MERCH_0797,iOS,Urban,normal,normal,2625.41,0.015808721156880583,0.02526128199892332,0.2951604819098183,0,2,0,Night,2,4266.8099999999995,5
243,21bcf7da-7279-40e4-9617-1dd0c56dc94b,USER_08369,2023-09-06 03:10:00,Electricity Bill,Temporary Connection Bill,Tata Power,936.51,39.24,86.59,285,Debit Card,Successful,MERCH_0626,Web,Urban,normal,normal,849.92,0.04190024666047346,0.09246030474848106,0.30432136335970783,3,2,0,Night,2,3935.405,5
244,e5aef394-a89c-4bb2-86d6-36216c11ffa1,USER_00056,2023-09-06 03:18:00,Bus Ticket,AC Seater,AbhiBus,3513.9,36.76,28.27,357,Debit Card,Successful,MERCH_0005,Android,Urban,normal,normal,3485.63,0.010461310794274167,0.008045191951962207,0.10159651669085631,3,2,0,Night,1,3513.9,12
245,174b3750-b55f-4300-b74f-e86af83f2b1b,USER_02349,2023-09-06 04:43:00,Electricity Bill,Agricultural Bill,BSES,4792.41,29.3,90.59,954,Debit Card,Successful,MERCH_0185,Web,Rural,normal,normal,4701.82,0.006113834166943146,0.018902806729808177,0.19906477116941163,4,2,0,Night,3,4878.733333333333,7
246,79183aa4-25a1-4aa4-9fee-fccde8b2089d,USER_00676,2023-09-06 05:24:00,Bus Ticket,Volvo Multi-Axle,Paytm Bus,3228.53,44.92,18.73,454,UPI,Successful,MERCH_0550,iOS,Suburban,normal,normal,3209.8,0.01391345287174039,0.005801401876395759,0.14062127345881872,5,2,0,Night,2,1729.0100000000002,4
247,0268c0fe-ca11-493d-8efc-d43eb17ef519,USER_02402,2023-09-06 06:46:00,Gas Bill,Auto LPG,Bharat Gas,8328.33,34.81,48.33,87,UPI,Successful,MERCH_0537,Android,Urban,normal,normal,8280.0,0.004179709497582349,0.005803084171736711,0.01044627194167378,6,2,0,Morning,1,8328.33,6
248,d0ff80df-5061-4731-9c83-6c25ec28aff8,USER_05241,2023-09-06 07:49:00,Food Delivery,Vegetable Biryani,Zomato,1709.78,3.6,61.78,623,Bank Transfer,Successful,MERCH_0357,iOS,Urban,normal,normal,1648.0,0.0021055340453157716,0.03613330369989121,0.3643743639532572,7,2,0,Morning,1,1709.78,10
249,8d30168e-dd21-43bc-8fcc-a69677a812be,USER_03498,2023-09-06 08:20:00,Movie Ticket,Baahubali 2,INOX,2348.45,21.87,18.67,241,Debit Card,Successful,MERCH_0095,Android,Suburban,normal,normal,2329.7799999999997,0.009312525282633228,0.007949924418233304,0.10262087760011923,8,2,0,Morning,1,2348.45,7
250,08727b35-02d5-403e-b5dd-863663b8d71d,USER_03413,2023-09-06 12:51:00,Insurance Premium,Health Insurance,LIC,4571.47,0.57,37.92,3,Debit Card,Successful,MERCH_0994,iOS,Urban,normal,normal,4533.55,0.0001246863700297716,0.008294924827243753,0.0006562440527882715,12,2,0,Afternoon,2,4256.745,6
251,bbd67cbe-1e0c-4784-bdc4-ec00b91d9946,USER_00427,2023-09-06 13:19:00,Internet Bill,Student Special Plan,Hathway,853.06,14.43,92.6,218,Credit Card,Failed,MERCH_0318,Web,Rural,normal,normal,760.4599999999999,0.016915574519963426,0.10855039504841395,0.25555060605350155,13,2,0,Afternoon,1,853.06,3
252,f82c7cf2-3392-4be3-ac64-ef3597026b59,USER_07915,2023-09-06 18:44:00,Online Shopping,Smart LED TV,Flipkart,420.58,38.34,59.32,737,Credit Card,Successful,MERCH_0309,Android,Urban,normal,normal,361.26,0.09115982690570167,0.14104332112796614,1.752342003899377,18,2,0,Evening,1,420.58,6
253,c918f0d8-78dc-42c0-bc18-21133c2028f0,USER_08975,2023-09-07 00:48:00,Flight Booking,Ahmedabad to Jaipur,EaseMyTrip,9922.47,47.43,19.94,266,UPI,Successful,MERCH_0615,Web,Suburban,normal,normal,9902.529999999999,0.004780059803657759,0.002009580275878889,0.02680784119276753,0,3,0,Night,2,7205.379999999999,10
254,879b9f74-61f0-41a4-9597-691e0ec6c3f4,USER_08792,2023-09-07 02:22:00,Flight Booking,Delhi to Mumbai,Yatra,9345.97,4.7,55.1,748,Wallet Balance,Successful,MERCH_0779,Android,Urban,normal,normal,9290.869999999999,0.0005028905506865527,0.005895589221878521,0.08003449615181732,2,3,0,Night,2,9654.36,4
255,fab49177-e67b-4008-a2bb-faea35a646ea,USER_09413,2023-09-07 05:53:00,Hotel Booking,Dormitory Bed,OYO Rooms,2513.61,31.35,15.97,993,UPI,Successful,MERCH_0399,Android,Urban,normal,normal,2497.6400000000003,0.012472101877379545,0.006353412024936247,0.3950493513313521,5,3,0,Night,3,6576.4766666666665,3
256,10e41228-f19b-4516-9364-7f56992c368b,USER_05151,2023-09-07 07:41:00,Bus Ticket,Semi-Sleeper,Paytm Bus,3679.27,25.31,65.62,477,Bank Transfer,Successful,MERCH_0069,iOS,Urban,normal,normal,3613.65,0.006879081991808157,0.017835059672163228,0.12964528289579183,7,3,0,Morning,1,3679.27,7
257,9832bf65-26ce-4833-8ace-30f7bf6e1255,USER_03461,2023-09-07 09:11:00,Water Bill,Commercial Property,Hyderabad Water Board,6824.58,42.03,86.06,547,Debit Card,Successful,MERCH_0090,Android,Urban,normal,normal,6738.5199999999995,0.00615862075028793,0.012610299827974762,0.08015145254359975,9,3,0,Morning,1,6824.58,4
258,251740c7-faa4-4a35-b899-247f44d33e81,USER_09969,2023-09-07 10:30:00,Education Fee,MBA Entrance Prep,Udemy,9637.2,12.65,18.21,572,Wallet Balance,Successful,MERCH_0647,iOS,Urban,normal,normal,9618.990000000002,0.0013126219233802348,0.0018895529821939983,0.059353339144149746,10,3,0,Morning,1,9637.2,4
259,d6d447a5-2266-40e7-b3ba-b766c895984c,USER_02721,2023-09-07 12:30:00,Bus Ticket,Sleeper Class,Goibibo,6163.63,43.1,59.58,4,Wallet Balance,Successful,MERCH_0870,iOS,Urban,normal,normal,6104.05,0.006992632588263734,0.009666381661455992,0.0006489682216486065,12,3,0,Afternoon,1,6163.63,7
260,1876668a-99ef-4379-968c-ad36927f3738,USER_04273,2023-09-07 13:56:00,Bus Ticket,Sleeper Class,Goibibo,1343.95,49.32,89.48,418,Credit Card,Successful,MERCH_0132,Android,Urban,normal,normal,1254.47,0.03669779381673425,0.06657985788161762,0.31102347557572824,13,3,0,Afternoon,1,1343.95,4
261,85d75efc-2229-4e7a-aef6-a4fe6dd73280,USER_08680,2023-09-07 17:28:00,Bus Ticket,Sleeper Class,MakeMyTrip Bus,1406.37,7.9,13.2,922,Credit Card,Successful,MERCH_0458,Android,Urban,normal,normal,1393.1699999999998,0.0056172984349779935,0.0093858657394569,0.6555885008923683,17,3,0,Afternoon,1,1406.37,5
262,0604871b-fa4a-47c7-99b9-08d6f0ca1694,USER_09953,2023-09-07 19:03:00,Food Delivery,Pizza Margherita,Foodpanda,4867.85,28.89,18.7,707,Bank Transfer,Successful,MERCH_0601,Android,Urban,normal,normal,4849.150000000001,0.005934858305001181,0.003841531682364904,0.14523865772363567,19,3,0,Evening,1,4867.85,9
263,f510605e-7663-4601-8ee9-5ee49aa267c5,USER_03062,2023-09-07 20:41:00,Flight Booking,Chennai to Hyderabad,MakeMyTrip,256.9,9.75,90.1,869,Debit Card,Successful,MERCH_0640,Web,Urban,normal,normal,166.79999999999998,0.037952510704554306,0.3507201245620864,3.382639159205917,20,3,0,Evening,2,5103.72,3
264,89f39656-7aae-43a5-b67b-f2cbc8272960,USER_06999,2023-09-07 22:40:00,Flight Booking,Chennai to Hyderabad,Yatra,2024.18,11.76,31.03,357,Credit Card,Successful,MERCH_0248,Web,Urban,normal,normal,1993.15,0.005809760001580887,0.015329664357912835,0.1763677143337055,22,3,0,Evening,1,2024.18,6
265,f69667af-6d7b-4251-832b-4e687b743930,USER_06474,2023-09-07 23:28:00,Taxi Fare,Rental Package,Meru,3442.47,36.36,5.3,912,UPI,Successful,MERCH_0038,Android,Rural,normal,normal,3437.1699999999996,0.01056218354844051,0.001539592211406345,0.264926056000488,23,3,0,Evening,2,5719.8,7
266,ae18b14f-7f34-488a-b547-4e583e0d8089,USER_03284,2023-09-07 23:29:00,Gift Card,Rs. 5000 Luxury Card,Amazon Pay,1842.26,35.92,73.27,558,Wallet Balance,Successful,MERCH_0831,iOS,Urban,normal,normal,1768.99,0.019497790757004984,0.03977180202577269,0.3028888430514694,23,3,0,Evening,3,4130.8133333333335,6
267,0d63a8fa-2456-4fd2-920d-97b531efec55,USER_09008,2023-09-08 01:02:00,Mobile Recharge,Postpaid Plan 599,BSNL,3638.28,39.78,55.78,258,Debit Card,Successful,MERCH_0526,Web,Urban,normal,normal,3582.5,0.010933737920116099,0.015331420341480039,0.07091262904449355,1,4,0,Night,1,3638.28,5
268,4bdf7bb6-1536-4d4f-8808-d6a36cbbe846,USER_09640,2023-09-08 02:17:00,Insurance Premium,Health Insurance,Max Life,9392.97,42.67,81.59,968,Credit Card,Successful,MERCH_0711,Android,Urban,normal,normal,9311.38,0.004542759106012263,0.008686283465187263,0.10305579598359199,2,4,0,Night,2,9694.96,7
269,cc96ccf6-eedc-480b-aca5-95f406646720,USER_08561,2023-09-08 04:09:00,Grocery Shopping,Whole Wheat Atta,Flipkart Supermart,9860.86,16.22,34.89,775,Wallet Balance,Successful,MERCH_0860,Android,Urban,normal,normal,9825.970000000001,0.0016448869571213868,0.0035382309453739326,0.07859355066393803,4,4,0,Night,1,9860.86,6
270,04b7c50f-9b20-4049-9bb9-ab895e08922f,USER_06026,2023-09-08 05:31:00,Grocery Shopping,Whole Wheat Atta,Amazon Pantry,3102.92,6.44,35.66,569,Bank Transfer,Successful,MERCH_0440,Android,Rural,normal,normal,3067.26,0.0020754644012736393,0.01149240070643136,0.18337565905663053,5,4,0,Night,1,3102.92,11
271,e880f2e1-ae4b-45e1-b730-39c9a5b5e8b1,USER_03949,2023-09-08 05:35:00,Streaming Service,Student Offer,ZEE5,8895.22,34.5,91.37,926,Credit Card,Successful,MERCH_0464,Android,Urban,normal,normal,8803.849999999999,0.0038784875472444753,0.010271808904108051,0.10410085416661984,5,4,0,Night,3,4063.953333333333,7
272,c897c3a0-e5ca-483b-8d25-aacbf608d485,USER_05154,2023-09-08 07:47:00,Mobile Recharge,Postpaid Plan 599,Airtel,5574.5,13.6,85.58,317,Bank Transfer,Successful,MERCH_0026,Android,Rural,normal,normal,5488.92,0.002439680688851018,0.01535204951116692,0.05686608664454211,7,4,0,Morning,1,5574.5,5
273,615ba245-a08b-446e-8335-491b677c14c0,USER_08381,2023-09-08 09:03:00,Streaming Service,Standard Plan,SonyLIV,898.46,2.3,93.67,785,UPI,Successful,MERCH_0676,Android,Urban,normal,normal,804.7900000000001,0.002559935890301182,0.10425617167152683,0.8737172495158382,9,4,0,Morning,1,898.46,5
274,79bd0a18-b961-4219-9913-60e623a6fcc0,USER_00400,2023-09-08 09:28:00,Internet Bill,Fiber 100Mbps Plan,BSNL Broadband,8120.55,30.41,72.59,60,Debit Card,Successful,MERCH_0651,iOS,Urban,normal,normal,8047.96,0.0037448202400083737,0.008939049694909829,0.007388662098010603,9,4,0,Morning,2,4085.265,5
275,de9765f6-ca4e-4077-a01c-0cb8560af578,USER_06847,2023-09-08 10:25:00,Insurance Premium,Motor Insurance,ICICI Prudential,5577.2,44.48,75.18,358,Bank Transfer,Successful,MERCH_0195,Web,Suburban,normal,normal,5502.0199999999995,0.007975328121638097,0.013479882378254322,0.06418991608692534,10,4,0,Morning,2,3206.46,4
276,b667dd27-bef3-4d5e-b039-638b2a490911,USER_08542,2023-09-08 14:28:00,Loan Repayment,Business Loan Repayment,Axis Bank,3572.19,36.05,86.16,644,Bank Transfer,Successful,MERCH_0582,iOS,Urban,normal,normal,3486.03,0.010091848417917298,0.02411965768898071,0.18028156397056147,14,4,0,Afternoon,1,3572.19,6
277,636a14df-c044-47de-af38-ec9ada44c265,USER_09488,2023-09-08 17:45:00,Rent Payment,2BHK Flat Deposit,Airbnb,9374.25,5.76,63.34,705,UPI,Successful,MERCH_0314,Android,Urban,normal,normal,9310.91,0.0006144491559324746,0.006756807211243566,0.0752060164813185,17,4,0,Afternoon,1,9374.25,3
278,eaefaee6-803c-46c4-a902-071435cbbde7,USER_00922,2023-09-08 21:09:00,Hotel Booking,Villa,Airbnb,8175.45,26.83,26.97,470,Wallet Balance,Successful,MERCH_0496,iOS,Suburban,normal,normal,8148.48,0.003281776538294528,0.0032989009779278203,0.057489190197481485,21,4,0,Evening,1,8175.45,3
279,e8c5627e-143e-4104-b1fa-989d0e73957c,USER_04607,2023-09-09 01:22:00,Food Delivery,Butter Chicken,Swiggy,1198.57,49.68,93.0,85,Credit Card,Successful,MERCH_0268,iOS,Urban,anomaly,anomaly,1105.57,0.041449393861017717,0.07759246435335442,0.07091784376381856,1,5,1,Night,1,1198.57,5
280,f01c7592-cbec-4d4c-ab56-81e3988b35e4,USER_01456,2023-09-09 01:46:00,Water Bill,Commercial Property,Hyderabad Water Board,6744.94,35.13,75.84,749,Debit Card,Successful,MERCH_0524,iOS,Urban,normal,normal,6669.099999999999,0.0052083487770091365,0.011243984379401448,0.11104620648960555,1,5,1,Night,1,6744.94,5
281,458bc7cc-b587-4e75-9a08-cb34d864a8cb,USER_05910,2023-09-09 06:16:00,Internet Bill,Broadband 50Mbps Plan,ACT Fibernet,1553.85,37.18,85.33,344,Bank Transfer,Successful,MERCH_0941,Web,Urban,normal,normal,1468.52,0.023927663545387265,0.054915210605914345,0.22138559062972618,6,5,1,Morning,3,3750.713333333333,8
282,6be9e7c6-d1a7-4159-b593-4bb70b58ef58,USER_00917,2023-09-09 06:41:00,Education Fee,Python Programming Course,Vedantu,5400.65,5.48,26.2,114,Credit Card,Successful,MERCH_0185,Android,Suburban,normal,normal,5374.45,0.001014692675881607,0.0048512679029376095,0.021108570264690363,6,5,1,Morning,1,5400.65,7
283,3e00b5ca-7cc1-4644-9c8a-ab04554a5d6b,USER_03296,2023-09-09 16:56:00,Gaming Credits,1000 Game Coins,Call of Duty Mobile,9029.37,36.09,67.81,165,Bank Transfer,Pending,MERCH_0536,iOS,Urban,normal,normal,8961.560000000001,0.003996956598300878,0.007509937016646787,0.018273700158482818,16,5,1,Afternoon,1,9029.37,6
284,e2024690-b3da-4ee3-949c-425bcf118d30,USER_06600,2023-09-09 22:33:00,Water Bill,Commercial Property,Hyderabad Water Board,3152.06,9.89,99.82,621,Wallet Balance,Successful,MERCH_0678,Android,Urban,normal,normal,3052.24,0.003137630628858588,0.03166817890522389,0.1970140162306555,22,5,1,Evening,1,3152.06,6
285,cf4ff96f-4a4f-4f56-a614-745ea4d420e3,USER_05474,2023-09-10 04:00:00,Gas Bill,Auto LPG,Adani Gas,8762.96,25.49,18.87,687,Debit Card,Successful,MERCH_0638,Android,Suburban,normal,normal,8744.089999999998,0.0029088344577631303,0.0021533819622593284,0.07839816682947315,4,6,1,Night,2,5137.719999999999,4
286,de059321-5969-47fa-87b7-80fa8b42b1f5,USER_02147,2023-09-10 04:59:00,Education Fee,Data Science Bootcamp,Coursera,5540.38,1.67,20.65,947,Bank Transfer,Successful,MERCH_0837,Android,Urban,normal,normal,5519.7300000000005,0.00030142336807222606,0.0037271811680787237,0.1709269039307773,4,6,1,Night,1,5540.38,3
287,f0e55577-5c44-4302-b449-e683048c0933,USER_07878,2023-09-10 07:26:00,Rent Payment,Co-working Space,Airbnb,9093.51,32.47,32.03,75,Bank Transfer,Successful,MERCH_0063,Android,Urban,normal,normal,9061.48,0.003570678428901491,0.003522292272180929,0.008247640350095837,7,6,1,Morning,1,9093.51,6
288,4f02e96d-b9bb-4b0c-9e79-36daf3821467,USER_05315,2023-09-10 08:33:00,Gas Bill,Piped Natural Gas,Adani Gas,4142.15,30.31,70.07,687,UPI,Successful,MERCH_0117,Android,Rural,normal,normal,4072.0799999999995,0.00731745591057784,0.016916335719372788,0.16585589609260892,8,6,1,Morning,2,3977.4849999999997,5
289,3cdc897e-ddf6-448f-afa1-a106f526c490,USER_03179,2023-09-10 12:32:00,Movie Ticket,Avengers: Endgame,Carnival Cinemas,5648.03,2.53,90.21,343,Bank Transfer,Successful,MERCH_0924,Android,Urban,normal,normal,5557.82,0.0004479437963325265,0.015971940658955422,0.060729139186583646,12,6,1,Afternoon,2,5675.3099999999995,6
290,7b441d9b-cd84-4f9c-8f93-c71648bfbff0,USER_06659,2023-09-10 15:04:00,Bus Ticket,Semi-Sleeper,Paytm Bus,5584.34,9.42,77.13,321,Credit Card,Successful,MERCH_0082,Android,Urban,normal,normal,5507.21,0.0016868600407568307,0.013811838104413412,0.05748217336336971,15,6,1,Afternoon,2,4283.27,9
291,77ebd42c-3b8e-4406-ad65-090ecd8aedf5,USER_08234,2023-09-10 15:12:00,Bus Ticket,AC Seater,RedBus,6996.98,13.46,61.64,258,UPI,Successful,MERCH_0214,Android,Urban,normal,normal,6935.339999999999,0.0019236870764244005,0.008809514962169394,0.0368730509448362,15,6,1,Afternoon,1,6996.98,5
292,a791fff7-25c9-472b-97ce-8588ade3253f,USER_04984,2023-09-10 16:06:00,Gas Bill,Auto LPG,Indraprastha Gas,6089.3,31.29,2.57,388,Debit Card,Successful,MERCH_0102,Android,Urban,normal,normal,6086.7300000000005,0.0051385216691573745,0.0004220517957729131,0.06371832558750595,16,6,1,Afternoon,1,6089.3,4
293,6677d860-3ef3-48cc-b211-ef0efe08969a,USER_01854,2023-09-10 16:14:00,Food Delivery,Chilli Paneer,Uber Eats,4992.53,22.73,52.82,278,Wallet Balance,Successful,MERCH_0377,Android,Urban,normal,normal,4939.71,0.004552801886017711,0.01057980623050838,0.05568319068688621,16,6,1,Afternoon,1,4992.53,4
294,bc8742ee-d86f-4255-a386-18f370d99248,USER_09123,2023-09-10 16:19:00,Flight Booking,Pune to Goa,Cleartrip,4534.19,9.47,45.48,516,Bank Transfer,Successful,MERCH_0415,iOS,Urban,normal,normal,4488.71,0.002088575908817231,0.010030457479726258,0.11380202417631376,16,6,1,Afternoon,2,2996.4399999999996,6
295,91afdb1a-f84f-4408-b21f-41553f4453da,USER_00747,2023-09-10 17:27:00,Education Fee,IELTS Training,Vedantu,1316.68,36.04,81.71,536,UPI,Successful,MERCH_0313,Android,Urban,normal,normal,1234.97,0.027371874715192757,0.06205759941671476,0.4070844852204028,17,6,1,Afternoon,2,3495.445,4
296,7a33759c-d23d-4481-b987-38e3e4481483,USER_02494,2023-09-10 18:27:00,Mobile Recharge,Family Plan 999,Idea,4807.1,12.86,59.53,398,Wallet Balance,Failed,MERCH_0510,Android,Urban,normal,normal,4747.570000000001,0.002675209585820973,0.012383765679931767,0.08279420024547024,18,6,1,Evening,1,4807.1,7
297,3469569a-5b4f-426d-8de0-594429990fce,USER_01784,2023-09-10 22:58:00,Flight Booking,Chennai to Hyderabad,Cleartrip,6508.33,21.41,88.08,278,Debit Card,Successful,MERCH_0709,Android,Urban,normal,normal,6420.25,0.00328963036600787,0.013533425625314021,0.04271449050678131,22,6,1,Evening,2,5884.255,3
298,3af1d130-6e84-42aa-b4eb-63cd6ea33f6a,USER_00108,2023-09-11 03:10:00,Mobile Recharge,Data Pack 50GB,Airtel,5449.7,39.84,24.16,291,Bank Transfer,Successful,MERCH_0150,Android,Suburban,normal,normal,5425.54,0.007310494155641596,0.004433271556232453,0.05339743472117731,3,0,0,Night,1,5449.7,8
299,03b2270f-4e34-4685-900b-15e1759aab18,USER_09183,2023-09-11 04:18:00,Streaming Service,Family Subscription,Amazon Prime,9739.5,46.74,87.13,546,Bank Transfer,Successful,MERCH_0210,iOS,Urban,normal,normal,9652.37,0.004799014323117203,0.0089460444581344,0.056060372709071306,4,0,0,Night,2,5307.175,5
300,25a3640a-36f1-4cf4-b425-0ebd657c37ae,USER_04936,2023-09-11 10:56:00,Insurance Premium,Travel Insurance,Max Life,3132.57,48.01,97.18,938,Debit Card,Successful,MERCH_0120,Android,Suburban,anomaly,anomaly,3035.3900000000003,0.015326074118056419,0.031022451214178775,0.29943464950503895,10,0,0,Morning,1,3132.57,8
301,608b3f4f-4e6d-461b-b096-cc1573c35370,USER_07078,2023-09-11 16:27:00,Rent Payment,Co-working Space,NoBroker,2466.42,33.5,97.01,102,Debit Card,Successful,MERCH_0414,Android,Urban,normal,normal,2369.41,0.013582439325013582,0.03933231160953933,0.04135548690004135,16,0,0,Afternoon,2,3733.87,5
302,65e19f0d-d079-46df-bde6-f6d844aeed87,USER_08919,2023-09-11 17:48:00,Flight Booking,Delhi to Mumbai,MakeMyTrip,2232.24,14.0,23.23,712,Wallet Balance,Successful,MERCH_0156,iOS,Urban,normal,normal,2209.0099999999998,0.006271727054438591,0.010406587105329178,0.3189621187685912,17,0,0,Afternoon,1,2232.24,8
303,154303a7-8d1a-4692-a429-b09bb6b52dd6,USER_01306,2023-09-11 20:43:00,Electricity Bill,Commercial Bill,BSES,1741.88,49.61,91.52,521,UPI,Successful,MERCH_0937,Android,Urban,normal,normal,1650.3600000000001,0.028480721978551907,0.05254093278526649,0.299102119548993,20,0,0,Evening,1,1741.88,2
304,59210fcf-9376-4c4e-9373-8ad80ff70a9a,USER_09911,2023-09-11 22:50:00,Movie Ticket,3 Idiots,PVR Cinemas,6953.77,3.42,76.83,356,Bank Transfer,Successful,MERCH_0331,iOS,Suburban,normal,normal,6876.9400000000005,0.000491819545368915,0.011048682944647292,0.05119525092144261,22,0,0,Evening,1,6953.77,6
305,68946e80-92e7-4a93-a9a7-5eb69ce9b23c,USER_07640,2023-09-12 02:51:00,Streaming Service,Family Subscription,ZEE5,4740.23,22.31,13.45,110,UPI,Pending,MERCH_0882,iOS,Rural,normal,normal,4726.78,0.0047065226792792755,0.002837415062138335,0.02320562504351055,2,1,0,Night,1,4740.23,8
306,ed4726e9-df52-4b46-b49d-ca37db701db2,USER_04981,2023-09-12 02:58:00,Mobile Recharge,Prepaid Plan 399,Idea,3673.5,46.29,71.3,675,Credit Card,Successful,MERCH_0945,iOS,Urban,normal,normal,3602.2,0.012601061657819518,0.01940928270042194,0.1837484687627603,2,1,0,Night,2,2077.72,9
307,5fe7adf4-49f1-4924-8ddf-e7146237eb44,USER_00778,2023-09-12 03:02:00,Rent Payment,Commercial Space Rent,OYO Life,2843.19,15.61,88.6,78,Credit Card,Successful,MERCH_0864,Android,Suburban,normal,normal,2754.59,0.005490311938350936,0.031162180508513323,0.02743397381110654,3,1,0,Night,1,2843.19,7
308,aa7e8462-de4f-470d-885d-4da179146402,USER_09711,2023-09-12 03:38:00,Grocery Shopping,Refined Sunflower Oil,Amazon Pantry,5930.23,4.09,74.61,951,UPI,Successful,MERCH_0628,Web,Urban,normal,normal,5855.62,0.0006896865720216586,0.012581299544874315,0.16036477505931473,3,1,0,Night,1,5930.23,5
309,afd33884-7710-49dd-9614-94183349e924,USER_00326,2023-09-12 06:20:00,Electricity Bill,Industrial Bill,CESC,6599.62,15.63,6.65,888,Bank Transfer,Successful,MERCH_0527,Android,Urban,normal,normal,6592.97,0.002368318175894976,0.0010076337728535886,0.1345532015479679,6,1,0,Morning,2,3486.11,2
310,44fedfd8-fb02-40b4-bdbf-63edb858fa54,USER_09742,2023-09-12 07:06:00,Gas Bill,Commercial Gas Connection,Mahanagar Gas,6324.41,38.03,76.5,64,Bank Transfer,Successful,MERCH_0116,Android,Urban,normal,normal,6247.91,0.006013209137295021,0.012095989981674181,0.01011952103042023,7,1,0,Morning,1,6324.41,7
311,34d1ff76-d979-4ed1-acad-dc791435f848,USER_02432,2023-09-12 08:30:00,Online Shopping,Smart LED TV,Flipkart,6810.18,0.27,57.6,908,Debit Card,Successful,MERCH_0579,iOS,Suburban,normal,normal,6752.58,3.964652916662996e-05,0.00845792622221439,0.13332980919740742,8,1,0,Morning,1,6810.18,9
312,605a199d-a832-465b-a400-e6b5437648bc,USER_08199,2023-09-12 08:37:00,Internet Bill,Student Special Plan,Jio Fiber,8123.2,39.15,43.66,431,Bank Transfer,Successful,MERCH_0888,Android,Urban,normal,normal,8079.54,0.004819529249556825,0.005374729170770139,0.05305790821351192,8,1,0,Morning,1,8123.2,9
313,7a1809cf-d416-489b-9971-85caac4783c9,USER_00242,2023-09-12 08:52:00,Education Fee,Digital Marketing Certification,Udemy,2151.26,15.75,61.36,348,Bank Transfer,Successful,MERCH_0158,iOS,Urban,normal,normal,2089.9,0.007321290778427526,0.028522819185035745,0.16176566291382724,8,1,0,Morning,1,2151.26,7
314,0f16a234-fed7-4a00-b4a2-d6ca774e56c3,USER_02621,2023-09-12 08:58:00,Movie Ticket,Avengers: Endgame,Carnival Cinemas,2662.31,13.65,5.44,737,Wallet Balance,Successful,MERCH_0276,Web,Urban,normal,normal,2656.87,0.005127126442825967,0.002043338303954085,0.2768272665467207,8,1,0,Morning,1,2662.31,8
315,1aaae43c-bae9-4116-9353-b4deb67213a6,USER_08067,2023-09-12 09:22:00,Gift Card,Rs. 250 Coffee Shop Card,Shoppers Stop,2962.48,12.95,82.31,974,UPI,Successful,MERCH_0935,iOS,Suburban,normal,normal,2880.17,0.004371337528017066,0.027784153817072183,0.32877859091031836,9,1,0,Morning,3,5459.66,3
